filename,audio_only_prediction,video_only_prediction,audio_video_prediction
hessische_0114-0505,Wir sind das Herstische Paler.,(Applaus) eide Lebe?,Wir sind das erste Suppel am.
hessische_0119-1716,Das ist also jetzt mit dem Ogle.,"""Was ich nicht an der Ständenke.""",Das ist jetzt genessen.
hessische_0132-0537,Das ist ein interessantes Land.,Vielen Dank.,Das ist ein interessantes Land.
hessische_0134-0543,"""Genauen Sie sich lang.""""""",Was ist ein jetzt schlent.,Das war die Härte schlankt.
hessische_0156-0583,Das ist die Härzische Land.,Was machst entstecktlicht?,Das hat die Härte schon Landes.
hessische_0159-1725,Meinmal ist: Fontag.,Was machen diese Leute?,Meinmal ist der Land.
hessische_0208-0693,"""Das sind auch nicht, dass ich nicht.""","""Trober echte nicht nenne,?""",Das wäre der letzten gute Seima.
hessische_0164-0595,Die hat der Selsische Vercabt.,(Applaus) (Musiker Rot.,Die hat er hat eine Suppe cuht.
hessische_0229-0739,Das ist diese Helson Manche Land.,Das ist ein kleine Stären schon rechne die Schlechte,Das ist diese Helstische Lande Land.
heute_0031-0903,"""Ich wollte mich, was fragen will.""",Da hat man nicht an der Kobieren.,Was war ich damit getan?
heute_0047-0983,Wir haben ein Land.,Und noch nun hatten wir noch nicht lesen und noch ändern,Wir haben schon ein Land.
heute_0030-0888,Heute seide sind drift.,Sie haben einen Kontakuluhen oder wündigen.,Wir sind heute tollestuffe.
heute_0071-1100,"""Ich weiß, das ist heute.""",(Applaus),Das ist der Nahle.
heute_0069-1060,Lelerweise konnte ich mich so.,Zeht sich hoch hochmion.,Dererweise heute auf dem Fliegen.
heute_0088-1192,Also.,Hoch.,Heute.
heute_0077-1133,Das sind wir heute beratet.,Ich habe nun die Glesen.,Das ist wir heute beratet.
heute_0100-1250,Vielleicht vielleicht heute morgen.,(Applaus),Vielleicht ist heute morgen.
heute_0107-1298,Wir haben heute einen Anar.,Warum nunt es schon ändernt.,Wir haben heute einen anderen.
heute_0117-1345,"""W., wir Ja, heute.""",(Applaus),Weil wir ja heute heute.
hier_0140-0033,Das Regierung hier regierung.,Was ist die Dinge?,Das geht um die Regierung rehn.
hier_0144-0096,Das hat hier auch keine.,"""Schon, gekalt ihr auch leichte, liut",Das hat hier auch keine.
hier_0145-0111,"""Nun, so sagt: """"Hier ist Hitzt.""""""",Das wollen der Konto erzielungen nicht mehr.,"""Und dann setzt er nicht."""""""
hier_0152-0186,Hier ist natürlich.,Vielen Dank.,Gehn natürlich.
hier_0146-0121,Auche ist schal.,Wer sind seit einem Jahr mit?,Ich habe bisher noch.
hier_0182-0503,Hier hier hier.,Es ist ganz gut.,Hier hier hier.
hier_0154-0210,Worten eigentlich nicht schon?,Brach erdingen die eimisch.,Wochen merr ich jetzt schon.
hier_0161-0264,( geht wir nicht im Roch.,Das ist ganz gutig so hoch.,Es geht' nicht um ob.
hier_0182-0505,Da gra wir uns insgesamt geht.,"""Schohlen, die Pleinkreicht.""",Da uns insgesamten.
hier_0185-0556,"""Schon, so musst der in.",Alson Dank.,Der Vär wird bewusster.
hinaus_0010-0876,"""Genauen, ob genau ist.""",(Applaus),Wir ging genau ist genau.
hinaus_0103-0181,Sie sehen hierung heraus.,Vielen Dank.,Sie sind also heraus.
hinaus_0128-0201,Wir haben darüber genau aus.,"""(Applaus) Hundert, auch blöd.""",Wir haben darüber genau aus.
hinaus_0149-0219,"""Dabeimmt man genau, auch.""",Und nun hatten wir die grunden oder grüßen,Darüber her genau.
hinaus_0154-0222,So funktioniert uns anders?,( hoboter) Hallo aller!,So funktioniert zum tr?
hinaus_0161-0229,"""""""Tes trak hinaus.""""""",(Applaus),Nirk hinaus.
hinaus_0204-0262,Das sind genau aus sich ein.,"""Was auch immer, das sind auch nicht.""",Das sind genau seiden hinaus!
hinaus_0216-0275,Was mach genau!,(Applaus),Was mach genau?
hinaus_0243-0302,Darüber von den Ausmert.,(Applaus),Darüber von Ihnen ausgewasen.
hinaus_0312-0355,Wart er auf ihnen aus?,Also sind die Händerum.,Warte auf ihnen aus.
hingewiesen_0012-0874,"""Ich verbracht darauf, dass es.""",Vielen Dank.,Wir sind darauf gewiesen.
hingewiesen_0010-0870,"""B. Bitter mit Ihres] wieder hin?""",(Applaus),"""B. Bitter ihn, weil sie da hin gewiehen."""
hingewiesen_0035-0117,Weiter ging es auf.,Vielen Dank.,Weiter ging es auf ihnen.
hingewiesen_0048-0129,Hab hier guten.,Bitte Bruten sind hochen.,Hab hier gut sein?
hingewiesen_0064-0134,"""Ganz kurz, gewieht, dass der Rlauf.""",(Applaus),"""Ich weiß nicht, dass der Glück."""
hingewiesen_0101-0163,"""Das ist eine LAbhach, es sind üff.""",Was ist damit?,Da habe ich damit nicht.
hingewiesen_0136-0205,All das sehen Sie ruhig.,(Applaus) (Musik),All das sind gewesen voll.
hingewiesen_0137-0208,"""Ganz nicht nicht, ob man sie gewesen.""",Dann tat von Ihnen hier sählen.,Darum auch immer auf ihn gewesen.
hingewiesen_0166-0237,"""Ich bin auch in diesem Gewiesen.""""""",(Applaus),"""Ich bin auch in diesem Gewiesen."""""""
hingewiesen_0173-0246,"""Alle, wie sehen gewesen.""",(Applaus) Wohl.,(Lachen) Winanzum.
hochschulen_0004-1425,Wir weiß an ein Hochschulen anschauen.,Was machen wir auch schulentlich] in der Untregrane,Warum weiß man ein Hochschult schauen.
hochschulen_0005-1449,Der Hochschulen.,Und die grüße mitdiesen.,Oder holen der Hochschulen.
hochschulen_0005-1494,"""Das ist so hochschulen, die?""",Das ist ungefähr im Hoch.,"""Das ist schon hochschulen, über?"""
hochschulen_0051-0071,Ihr könnt es die Wochschulen-Sein.,"""Word, Roma, nicht blaudet, oder?""",Also hochschulen bleiben.
hochschulen_0051-0099,Das sind hochschulen mit einem Schule gucken.,Hoh hoh!,Hoh holen Mülls?
hochschulen_0095-0182,Das sind die Hochschulengeklagen.,(Applaus),Das sind die Hochschulendig.
hochschulen_0055-0131,Und son Sie an Hochschulen geht ein.,Vielen Dank.,Der Hochschulen wird ein Hochschul.
hochschulen_0095-0209,Du muss es alle egoß?,(Applaus) Hohl!,Ich muss es allen Au hoch.
hochschulen_0095-0193,Es sind ein guckt mit den Hochschulen.,Hoch hoch.,Es sind ein die Hochschulender auf die Hoche.
hochschulen_0095-0219,Sie sind die Rochschulen natürlich.,Wom Huderation ruhkulsiert werden.,Sie sind die Hochschulen natürlich.
ihnen_0040-1391,Und nicht geredet nicht mehr nicht.,(Applaus),"Ich weiß mich nicht, wenn ich mich gebedet."
ihnen_0054-1490,"""""""Und nehmen nicht!""""""",Wollen es sich nicht?,Können nicht.
ihnen_0057-1522,Wie haben ihnen bleiben?,Das ist ungefähr im Greisleit].,Und nunn bleibt und ihn bleiben bleiben.
ihnen_0064-1540,Wir erkennen.,(Applaus),Wir erkennen.
ihnen_0084-1641,Das ist Ihnen vielleicht nicht.,Vielen Dank.,Das ist Ihnen vielleicht.
ihnen_0101-1811,"""Ich er aber noch nichts geher.""""""","""Da haben wir noch nicht so?""""""","""Wel, aber noch nichts gehört."""
ihnen_0103-1852,♪ Allen ist schander.,"""Das sind eine Lame durch den Suldelen, die Lochs",Da arbeite ich ihnen.
ihnen_0125-1987,Lieder ein Ende.,Vielen Danken einander behangert einen ab.,Nie da riehten Länder.
ihnen_0127-2004,Und gegen Sie hier zu sprechen.,Danke schön z.,Dann geben Sie ein bisschen.
ihnen_0130-2031,"""Wer, gesagt, wie alle.""","""(Englisch) """"Wir sind nicht.""""""","""Aber wie gesagt, wie gesagt für alle."""
ihrem_0022-0279,Das ist ihr im Anfang.,(Applaus),Das ist in Ihrem Antrag.
ihrem_0051-0336,Das war der Leute.,(Applaus),Das war der Leute.
ihrem_0036-0313,"Das findet sich das, das war.",(Applaus),Das findet sich das was.
ihrem_0102-0402,Ein K.Rährung mit ihrem Projekt.,Vielen Dank von uns im Ompoliker.,Warum können wir hier mit Ihrem Projekt.
ihrem_0124-0462,Machen Sie mal ein Kontaktie.,Der von einem Fassenfassen Zot.,Was von ihrm Faktial von ihrm Faktium.
ihrem_0189-0597,Der Minschuls von ihren gehalt.,Vielen Dank.,Menschen von ihrn gehalt.
ihrem_0212-0637,Was macht ihr mit ihren aus?,(Applaus),Was macht mit Ihrem aus?
ihrem_0248-0710,Was meiner Namen.,Hargen wir das noch nicht in Rotel.,Was war man nicht?
ihrem_0260-0734,Sie sind wantrieg.,(Applaus),Sie sind in Ihrem Antrag.
ihrem_0271-0760,"""Ganzte mit ihr, das?""","""Es ist der, das wir hier im Ramen.""","""Wieman wird wieder, wieder mit diren gesetzen."""
ihren_0033-0396,"""Glaut ihr, dass ihr nicht.""",All los!,Glaut ihren: Grehen.
ihren_0052-0435,Für den Klusen wir ihn erkennt.,(Applaus),Für den unergren durch ihren ergännt.
ihren_0105-0560,Ich habe eben ihre Auswirkungen.,Was ist keine Leute?,Ich habe eben ihre Auswirkungen.
ihren_0116-0594,Es sind in ihren Partweit.,(Applaus),Es sind in ihren Partweit.
ihren_0115-0592,Wir machen nehmen wir nur da 10 letzten.,(Applaus),Wir machen nehmen wir nur da hinunterrampfletzt.
ihren_0151-0676,Zu mit nun.,"""Es ist nur grohieren, die ich nicht nun.""",Zu mit.
ihren_0154-0688,Da erihr ihr ihr ihr in Spüro.,(Applaus),Damit dabei hier ein Spiel.
ihren_0187-0747,So sehen hier bei den gewohndigen Wohnen.,Vielen ich jetzt wohl nicht vor.,Das sehen je wohl nicht mehr Weitigen Wohnen.
ihren_0175-0728,Hier wird mit ihren Vorschlieg.,(Applaus) Wohlt in Vorstellung.,Hier wird mit ihren Vorschliegen.
ihrer_0050-0569,Und uns von uns an die Rede.,Also holu!,Und uns an ihrr Dähret.
ihren_0222-0844,Wie ist ihnen die Strom.,"""Das ist der Hrom von Obst dun dochen, das","""Also Männer, die wir ein Strom."""
ihrer_0092-0686,Er mitnt erst ihreseite.,(Applaus),Das ist ein 8.
ihrer_0051-0577,Das ist druckt ihr die Mittel.,"""Schun, gegreibt.""",Das ist drucht ihr die Mittel.
ihrer_0152-0907,Der Fandfundeten Familien.,(Applaus),Warum sollen und ihre Familie.
ihrer_0117-0785,Sie ist mit ihrer Politik nicht.,"""Das sind nicht mitgebracht, das hat mir nicht gelebt.""",So ist mit ihrer Politik nicht.
ihrer_0153-0912,Das ist Tickel ihre aktuell.,(Applaus),Das ist ein getrittuell.
ihrer_0160-0926,Pity mit ihrer Park reden.,(Applaus),Das ist mit ihrer Parte.
ihrer_0166-0950,Das sind mit ihrer Land.,Vielen Dank.,Das hat ihre Lan.
ihrer_0161-0936,"""Schaldung und Ihrduft.""","""Ich bin auch nicht vorhin, können ich nicht angeboten können.""","""Witte und die Organis."""""""
ihrer_0182-0992,Sie gehent alles reuren.,Vielen Dank.,Gehtals ihre Gesetzen.
ihre_0138-0018,"""Wier, aber es machble.""",Es ist ganz gut.,"""Wier, aber es cieblecht."""
ihre_0145-0058,Voner geht es mit Ihrem Jaen.,"""Also, ob ich nicht sechent.""",So wird ihre Jahr?
ihre_0156-0116,Auch hier.,Vielen Dank.,Auch ihre ihr.
ihre_0162-0139,Dürmand ♪ Ihr!,(Applaus),Wonael lernt nicht mehr.
ihre_0156-0118,Der sind hier eine Häuser.,Lasser geht es nicht vor.,Der Hol ist oder in USpäuser.
ihre_0163-0158,Das ist ungefähr?,(Applaus),Was ist diese Leute?
ihre_0173-0226,Wir haben jezahl.,Es gibt man die anderen Versprechen.,Wir haben ihre Verschiednis pres.
ihre_0181-0255,Hiere Zwecke ist.,Das sind die Leute?,Ihre Zwecke ist.
ihre_0167-0185,"""Miter immer, immer spanngs.""",Es ist mir bei den Sekansen.,Raila Olingen quer.
ihre_0182-0271,"""Deswegen im Hemenschädlich.""",Den Ziemlich Rochd das auch Rot.,"""Deswegen, ist mit dem Obonieren."""
immer_0041-1273,Warum sichtlich auch immer ein.,(Applaus),Warum sichtlich auch immer ein.
immer_0045-1307,Haanzst du immer eine Lähle.,"""Also wann immer das nur immer leichte, weil man nur immer",Das kannst du immer meine Lein.
immer_0046-1319,"""Aber die auch immer wieder.""""""",Was ist auch nicht immer wieder.,"""Aber die auch immer wieder."""""""
immer_0053-1415,So kennen ihr dann redenbar?,Vielen Dank.,"""Ohr gennt, werk?"""
immer_0061-1467,Nicht immer.,Ich werden die Klima.,Nicht immer.
immer_0097-1694,Das ist nicht immer?,"""Es sind nicht immer, was macht nicht immer.""",Das war nicht immer besser.
immer_0101-1721,Wer kann uns immer wieder um?,Das ist der jetzt immer wieder bewordert.,Er kann uns immer wieder um.
immer_0103-1764,"""Er sagte er: """"Ihr, immer alles nicht.""""""",(Sehr!,Es sagt er immer alles nicht.
immer_0126-1943,Kunden auch immer Wohnhaben.,"""Schond es nurmal, ungeplicken.""",Kunden auch immer Wohn haben.
immer_0137-2015,Sie sind eigentlich immer gesonder.,Das ist keine Stiempart-Dashären.,Sie sind alle eingeschieme besonders.
innenminister_0030-0093,All er er Indianister.,(Applaus),All er erken Minister.
innenminister_0030-0086,(Echter) Minn es nicht ♪.,Das ist der Hasse mit diesem Leben.,"""Krehen minister, warum ich."""
innenminister_0033-0112,"""(Englisch) """"Ich das darf man.""""""",Er hat diese kleine?,Und der Inminister Smerbar.
innenminister_0033-0113,"""Der Innen sind """"Coud"""".""",(Applaus),Erhin Minister Ministerbout.
innenminister_0038-0145,Alleine Menschen nicht so die Land.,(Englisch) Worlkenz toten die Welt,Alleine Immunist durch die Land.
innenminister_0064-0161,Wir in der Inminister.,Was nun hatten wir noch?,Und wer Inminister.
innenminister_0064-0163,"""Mein Holl, als ich muss aus.""",(Applaus),"""Jamen und Herren, als ich muss aus."""
innenminister_0071-0165,Es sind minister der Tan.,Haben wir die Probike gerissen.,Am Hesten Minister der Tag.
innenminister_0087-0179,(Echter) Illes nicht.,Das hat man nicht von Rot von ein Rander.,Das Geld minister.
innenminister_0128-0237,Der Hehminist der Stadt.,(Applaus),Der Hehminist der Stadt.
insbesondere_0090-0281,Wir sind die Anträge: die Wirtschaft.,(Applaus),Wir sind die Anträge: die Wirtschaft.
insbesondere_0093-0288,Insbesondere.,Was beguckt euch den Konselt.,Insbesondere.
insbesondere_0107-0310,Das ist insbesonder reden.,Vielen Dank.,Es gibt unmanter Funder.
insbesondere_0143-0352,Das besonders besonders die Prei.,(Applaus),Das besonders besonders die Preis.
insbesondere_0164-0381,Das ist insbesondere Fall.,Danke Sie sich im Wund.,Das ist insbesondere Fall.
insbesondere_0166-0385,Diese Hollone von uns.,Vielen Dank.,Dieses Besondere Aufleits.
insbesondere_0177-0401,Das ist gerade der Rahl.,Das ist der Hoh!,Das war gerade der Rade.
insbesondere_0166-0386,Das ist besonders gesondere.,Vielen Dank.,Das ist besonders besonders gesondere.
insgesamt_0029-0159,Lass uns dasgesamtern.,(Applaus),Wir haben jetzt insgesamt dann.
insbesondere_0202-0440,Das ist gucker der abschluss.,(Applaus),Das ist gucker da.
insgesamt_0032-0163,Kreißig insgesamt ist.,(Applaus),Ich habe also gesagt ist.
insbesondere_0195-0418,Das ist insbesonderes.,Das sind diesem Schuls durch den Obtionen.,Es geht insbesondere.
insgesamt_0046-0180,Warum sind wir interessant?,"""Run, neben beleboluht in Tab",Wir haben uns insgesamt offen.
insgesamt_0046-0186,Ihr Sie gesamt wird das.,(Applaus),Ihr Sie gesamt wird das.
insgesamt_0056-0221,Das ist insgesamt.,(Sebanter) Heidan.,Das ist insgesamt stellt.
insgesamt_0057-0231,Letzten insgesamten.,(Applaus),Letzten insgesamten.
insgesamt_0091-0276,Aber insgesamten auf uns.,Das ist der Leute?,Aber insgesamten auf uns.
insgesamt_0101-0289,Das ist eine interessant aber jede.,Das sind diese Dinge?,Das ist insgesamt aber jedemgesamt aber jeder.
insgesamt_0092-0280,Und dies insgesamte Sam.,Was nun hatten wir sich rieliesigen und lassen,Und dies insgesamtsgesamte ist?
insgesamt_0133-0324,Das ist zusammen 20r Zumpfels.,(Applaus),Das ist zusammen 2010.
insofern_0034-0134,(Englisch) Ist kompliziert vor.,(Applaus),(Lachen) Fertvoll.
insofern_0104-0181,Und jetzt so viele an.,Was macht man nicht?,Und jetzt so wan.
insofern_0067-0155,Das ist die Zug.,"""Es sind nicht nur nicht, sondern einen Ende.""",Das war so weiter.
insofern_0077-0158,(Eg auf dem Fern ist gracht.,Hoh hoh!,Hinzufehlt es.
insofern_0147-0229,Einmal einesontage nicht.,Vielen Dank.,Einmal einesontage nicht.
insofern_0125-0205,Also Voll war soferschen.,Also nunt die Schimmen?,Also sehtes ein Job!
insofern_0139-0707,Das ist ungefähr im Schwein Seiß.,(Applaus),Das ist ungefähr im Schwein Seiß.
insofern_0210-0297,"""Bitte Dange aber, gefähr!""",(Applaus),Also folken sind hoch werden.
insofern_0242-0313,Und in so traniari].,(Applaus),Und in so tot ich nicht.
insofern_0251-0322,Diewachsen müssen es richtig.,Ich habe der Norbrs geliegert.,Diewachsen müssen: Nichten müssen das Recht.
investitionen_0009-0714,Es von Investition.,Ihrgendwie sind hochduft.,Wir nehmen ihnenvestition.
investitionen_0038-0075,Ihre Disionen.,Was ist die Not.,Ihre Disionen.
investitionen_0048-0084,Wir sind Investition.,Das sind der Infestekunden.,Wir sehen Investitionen.
investitionen_0057-0109,In Innvestition.,Vielen Dank.,Das Inwestitionen.
investitionen_0056-0106,Ähnlichdem Sektionen.,(Applaus),Ähnlich um Seminen.
investitionen_0057-0113,Wir Investition.,Welm zoten Sie Zot.,Wir Investition.
investitionen_0071-0121,Interstition.,Denn Sie die Drohkussion?,Investitionen.
investitionen_0091-0142,Das In Mission.,Vielen Dank.,Das Invektion.
investitionen_0091-0148,Westition.,(Applaus),Das ist die Destition.
investitionen_0091-0139,Unser Inngezitionen.,Vielen Danke Menschen sind die Grund.,Der Innelen sind hezition.
jahren_0061-0876,60 Jahren.,Was meinem Min.,60 Jahren.
jahren_0065-0885,Das ist tat sich Jahren.,(Applaus),Das ist tat sich Jahren.
jahren_0061-0878,Wir sind letzten Jahren.,Was nervt das denn lebanger Zerklich,Wir sind letzten Jahren.
jahren_0064-0883,"""Wehr, da haben bemunter ausgenommen.""",Also haben die Aufbruchbott.,"""Wir war vom vombund."""""""
jahren_0066-0893,Einigen Jahre von Jatan.,(Applaus),Einigen Jahre von Jatan.
jahren_0088-0984,Um 15: Gewicht.,Unsere Sie das noch nicht richtig?,Bis 205 gebe ich.
jahren_0115-1128,Danz 20 Jahre.,Vielen Dank.,Dahr 30 Jahren.
jahren_0115-1133,10 Jahre 80 Jahre behaben.,"""Das ist einige große, woer!""",10 Jahre 80 Jahre.
jahren_0118-1149,Das ist meistens nur.,(Applaus) Hallo!,Das sind rechts nur verwickelt.
jahren_0123-1161,Letzen Jahre.,(Applaus) (Musik),Letzen Jahre.
jahre_0021-1940,Fünft 50 Jahre verlätzung.,(Applaus),Um 150 Jahre verlätzung.
jahre_0023-0351,2 Jahre Jahres sie.,Das ist seit einem alle ähnet.,2 Jahre Jahre ist das.
jahre_0042-0409,Wir sehen hier die Jahre.,Vielen Dank.,"""Hier der Jahre, Ja die Jahre gibt."""
jahre_0067-0475,Auchs.,(Applaus) (Musik),Am 13.
jahre_0073-0485,Was ist der Jahre.,(Applaus) (Musik) Händert.,Warum?
jahre_0051-0439,B. Fünsche Jahre.,"""Oh den Verhin, vierhin grund.""",Das ist 5 Jahre.
jahre_0073-0488,Und 3 Jahre.,(Applaus) (Musik),"""Das ist ja Ja, der?"""
jahre_0075-0500,Wir fängt haben?,(Applaus),Wir fängt haben?
jahre_0073-0490,Das ist der Hiche Jahre.,(Applaus),Das ist der letzte Jahre.
jahre_0088-0519,Das sind heute beipreute.,Hoh hohst das nicht holst.,Das heute heute!
jahr_0144-0031,"""Ich bin woluan, ja'schule es so0 soll",(Applaus),"""Ich wollen hier diese Greuen, ja?"""
jahr_0145-0034,Zu mit Klub 200.,(Applaus),Zu mit Klup-Sgurs.
jahr_0149-0063,Hier ist die Daten.,"""O wunde Menschen, warum man nicht mehr zu machen.""",Der Jahre im JaMollziert.
jahr_0182-0271,Das sind gucken über einem Jahr eingesetz.,( hogen Sie sich los!,Wir haben seid von einem Jahr eingesetz.
jahr_0184-0293,Dieses Jahr.,"""Das ist einige Toktoten, nicht nur tot.""",Dieses Jahr versuchen.
jahr_0190-0318,Übern diesem Jahr.,Ich nieben wir einen.,Wir sind diesem Jahr an.
jahr_0191-0324,Das sind 201.00037.,(Applaus),Das sind ganz 201.
jahr_0191-0326,Hier die Beradungs!,Vielen Dank.,Hier die Beratung.
jahr_0197-0372,Jetzt geht jetzt keine Glus.,Sie machen auch einigen von einem Mann erziede ich in die Man,(Applaus)
jeden_0014-1059,Man Klassial jeden Tag.,Vielen Dank.,Auch seiden Tag auf.
jahr_0215-0453,"""Früher, wir calschal.""","""Neben wir das denn, nehmen wir sein nicht an?""","""So ja, wir haben die das reicht."""
jeden_0010-1054,Durch aus jeden Tagen Tag.,Er kann drins aus den Dreimen lesen.,Durch aus jeden Tagen Tag.
jeden_0045-0175,W.R.,(Echt!,Will jeder?
jeden_0079-0727,"""Wie jeden Schließsion, jeden regisch.""",Vielen Dank.,Es ist also jeden tisch.
jeden_0117-0244,Nachzu jeden Kenstimmer.,"""Also nen Sie die Kontolieren, bei Schronst",Nachzu jeden Naheten.
jeden_0132-0254,Hier sind hier auf jeden Fall mehr.,(Lachen),Hier sind hier auf jeden Fall mehr.
jeden_0154-0280,Dafür jeden Klan.,Vielen Dank.,Dafür jeden Plan.
jeden_0138-0260,Betrag der totte das?,(Applaus) (Musik),"""Bitt, er deutlich."""
jeden_0157-0281,Auf jeden rede ich jeden Fall.,"""Die Hoboter nicht, lie.""",Auf jeden Fallfall.
jeder_0005-1748,(Applaus),(Applaus),Weil jeder keiner Kai.
jeden_0160-0284,Der Frage ist auf jeden Urgen.,(Applaus),Der Frage ist auf jeden Urgen.
jeder_0046-0283,Was wir jeden reden.,(Applaus),Der für jeden trücen.
jeder_0076-0316,Das ist jeder Krieße.,Das sind alle die Klein hier hinhänderen.,Ihr könnt jeder jeder Kriese.
jeder_0077-0318,(Applaus) Wundeten schaut.,"""Orte schön, dann schönen schönsländert, gro","""Aber erarbeiten, der Cote ist."""
jeder_0137-0409,(En da) Ja!,Lass das an Zeblich lesen und?,Da kann jeder von jeder abrin.
jeder_0142-0416,"""Sche, weile.""",(Applaus),Weile Meter sieht da.
jeder_0154-0434,So guckt das da sieht.,(Applaus) (Musik),Das sind jeder etwas drin.
jeder_0152-0431,"""Er wurde in jeder, das cue ich.""",(Lachen) (Musik),"""Erht in jeder, dassuat."""
jeder_0156-0440,Das ist als jeder man.,(Applaus),Das ist als jeder machen.
jeder_0161-0450,Kann doch jeder nachlechricht.,Das sind auch nicht an der Echt.,Kanz jeder nach jeder nach?
jede_0007-0674,Wir übergeben schwimme von uns.,Das sind die Hohl?,Wir überlegen hier von uns.
jede_0216-0057,"""Wier, jeder einzeln.""",(Applaus),Wie jeder ist jeder einzeln.
jede_0221-0065,Wir wollte nur jeder anstrahlt.,Vielen Dank.,Wir waren nur jeder anstrahlt.
jede_0222-0069,Die Krehrstunde war dudenig.,Was wird schon die Lösung?,Die Krehrst Studen Zweiw.
jede_0224-0071,"""Ander, jeder examin.""",Das ist keine Liebhazimmerhundsamkeit.,"""Ahn jeder jeder """"Samin""""."""
jede_0225-0073,Was ist für jeden Stelle?,Der seht ein Ziesschen lernger ein K,Und das für jeden Stelle.
jede_0254-0101,"""Ihr habt euch, es hat jeder Fantas.""",Das sind auch immer gewinnt.,"""Ihr sagt: """"Jederfand das."""""""
jede_0254-0103,Der Frage fragen hier in den Rüre.,Das ist sie anders?,Der Langen ist in den Bürur.
jede_0259-0418,Auchehnd.,(Applaus),(Beifall) Seht ihr!
jede_0262-0110,Sie müssten jetzt jede Aussage.,Benau geht das Glöchel.,Wir müssen jede Aussage.
jetzt_0030-1638,Und Jetzt haben wir es vor allem.,Das haben wir sind getanchtlich.,Und nun haben wir es vorgelecht.
jetzt_0046-1820,Wir haben ein Forschung.,Vielen Dank.,Wir haben ein Forschung.
jetzt_0044-1804,Wir sehen wir mich jetzt.,"""Das sind winterlich, nicht lebe.""",Wir sehen nämlich jetzt in.
jetzt_0061-1945,(Lachen) Hier zu.,(Applaus) Wohl.,(Lachen) Hier!
jetzt_0064-1954,Das wollen Leuten nicht.,(Applaus),"""Deufel einen Und, dararan."""
jetzt_0069-2013,"""Klein, Thry.""",Das war die Brun.,"""Kleiden, Tonien."""
jetzt_0086-2184,Das ist jetzt jetzt jetzt.,Was ist der Leute?,Das ist sehr jetzt sehr.
jetzt_0092-2246,Das haben jetzt genange.,Das ist der Hasse mit meinem Leben.,Das haben jetzt haben wir ja?
jetzt_0101-2312,"""Wenn Sie jetzt in Ihrem Uhren.""""""",Was nun hatten wir nicht?,Wenn Sie jetzt in Ihrem?
jetzt_0108-2427,Ähnlich natürlich gernet.,(Applaus),Ähnlich natürlich gern wiedert.
kann_0141-0080,Was machen Kammun.,Was macht man die anderen Länder?,Was machen kann?
kann_0137-0002,Was machen wir sich vielleicht.,"""(chmen Sie gerntschult, unge Tul",Was machen man kann sich falsch.
kann_0137-0011,Eine Laniemperlam....,Was machen Sie die Glück?,Keine Dam Januaren.
kann_0151-0196,Ansats kann man ist nicht.,Was ist der Zugrüce.,Das kann man ist nicht.
kann_0143-0098,"""Er ist den Latwetschaft.""",(Applaus),"""Klar, werangehabt."""
kann_0154-0259,Sie sehen da ein bisschen.,(Applaus),Das sehen Sie nicht?
kann_0173-0452,"""Die Glaue sind draut, heute rag ich.""",Wir nehmen können sich von Neiden Zes 36,"""Die glauben, ob ihr."""
kann_0190-0710,Die weiter nehmen kann dann.,(Applaus),Mein Nehm kann da.
kann_0191-0726,Das kann doch nicht.,Was erkennt alles einen Zändert.,Das kann doch nicht.
kann_0187-0647,Aber nicht man kann auch mit dem.,Errumen Sie sich in diesem Komentlich.,Aber nicht man kann auch mit dem.
keinen_0003-1970,"""Es gibt auch keine Gloße.""""""",Erben wir auch nicht richtig.,"""Es gibt auch keine Klobst, auch keine Job."""
keinen_0073-0344,Es gibt kein Aufsch.,Als taten die Haubot.,Es gibt keinen Aufschibchen.
keinen_0082-0362,--lich auch keinen Gedanken.,(Applaus),Auche auch keinen Gedanken.
keinen_0107-0418,Das ist keinen Eins.,(Applaus),Das war keine ein Einein.
keinen_0097-0393,Alles dort keiner Uppent.,Vielen Danke sind noch ein Open-Banner von O,Alles dort keiner Oppen voll.
keinen_0116-0435,Das sind keines Cent.,"""Die Händeren sind behüberen, webonün",Das war keine kleine Febuduce.
keinen_0134-0467,Hauch ja kein Todel.,Das ist eine großen Umdeldrin.,Haben Sie ja kein Todelshocen.
keinen_0154-0499,Aber keine weiter.,(Applaus),Aber keinen beide.
keinen_0135-0470,Pitte keinen Nachricht.,Vielen Danke die Lekoch.,Nach 30 keinen Nahrholen.
keine_0033-1088,Das ist so ein Internet.,Sie sind nur orgieren.,Das sind so the.
keinen_0153-0497,"""Da wollände keiner Hür, leine Blick.""","""Wiemand an diesem Leben, an die anderen noch noch nicht.""","""Ich habe auch kein Höre, der mich."""
keine_0037-1114,Der Zeit überhaupt keine Fange ich.,Diese sind enormiertbar als Rentan.,Also seit überhaupt keine Band erkanderten.
keine_0037-1115,Meinmal ist noch keine andere.,Das ist die Gonalen kennen.,Meinmal ist noch keine andere.
keine_0046-1187,Alles keine Wir.,(Lachen),Alles keine Wirkung.
keine_0038-1120,Das ist gar keine Stahl.,Vielen Dank.,Das war gar keine Straf.
keine_0047-1198,Es gibt nicht ausreichen.,Leinen Sie sich noch nicht.,Es gibt nicht ausreich.
keine_0050-1231,Wir sind diese Ansätzin.,(Applaus),Wir ansetzen es ansetzen.
